Zone,State,City,Name,Type,Establishment Year,Time Needed (hrs),Google Review Rating,Entrance Fee (INR),Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of Google Reviews (in lakhs),Best Time to Visit,Latitude,Longitude
North-East,Himachal Pradesh,Shimla,Place 180,Monument,,4.3,3.8,100,Yes,Friday,Colonial Heritage,Yes,4.8,October to March,17.3348,68.2952
West,Andhra Pradesh,Tirupati,Place 181,Religious,,2.5,4.8,50,No,Saturday,Popular Tourist Spot,Yes,7.5,October to March,10.8214,75.815
North,Gujarat,Ahmedabad,Place 182,Museum,1821.0,1.4,4.1,0,Yes,Saturday,Colonial Heritage,Yes,2.3,October to March,21.5273,81.3817
North-East,Karnataka,Bengaluru,Place 183,Market,,3.0,3.8,200,Yes,Friday,Colonial Heritage,No,4.2,April to September,28.0049,93.3679
South,Jammu & Kashmir,Jammu,Place 184,Beach,,1.8,4.9,200,Yes,Tuesday,Popular Tourist Spot,Yes,10.0,April to September,27.8516,82.5063
Central,Uttar Pradesh,Varanasi,Place 185,Religious,,3.1,4.4,200,Yes,None,Colonial Heritage,No,9.3,October to March,16.9223,72.382
Central,Himachal Pradesh,Shimla,Place 186,Monument,1963.0,2.5,5.0,0,Yes,Wednesday,Colonial Heritage,Yes,1.6,Year-round,14.1221,82.8341
North,Meghalaya,Shillong,Place 187,Beach,1930.0,3.7,4.7,0,Yes,Monday,Popular Tourist Spot,No,8.4,October to March,33.2084,81.9587
North-East,Goa,Panaji,Place 188,Museum,1851.0,1.2,3.6,50,No,Sunday,UNESCO World Heritage Site,No,5.3,October to March,28.3823,83.9098
North,Meghalaya,Shillong,Place 189,Religious,1906.0,4.2,4.0,20,Yes,None,Popular Tourist Spot,No,7.0,October to March,10.7925,89.9377
Central,Telangana,Hyderabad,Place 190,Religious,,1.3,4.8,200,No,Monday,Pilgrimage Site,Yes,4.7,April to September,24.7036,93.8163
South,Uttar Pradesh,Varanasi,Place 191,Monument,,2.8,4.5,0,No,Saturday,Popular Tourist Spot,Yes,5.5,April to September,19.2088,84.0089
Central,Kerala,Thiruvananthapuram,Place 192,Cultural,1683.0,2.0,4.7,0,No,Saturday,Colonial Heritage,Yes,6.7,October to March,16.3517,77.44
Central,Tamil Nadu,Coimbatore,Place 193,Cultural,,3.5,4.4,100,Yes,Wednesday,Popular Tourist Spot,Yes,7.3,April to September,32.7905,79.5542
South,Goa,Panaji,Place 194,Market,1646.0,2.2,4.5,20,No,Wednesday,Pilgrimage Site,No,4.9,Year-round,28.54,84.3655
East,West Bengal,Kolkata,Place 195,Monument,1628.0,1.7,3.6,50,No,None,Colonial Heritage,Yes,7.7,October to March,14.7661,71.7408
South,Punjab,Chandigarh,Place 196,Nature,1860.0,4.8,4.1,200,Yes,Saturday,Pilgrimage Site,Yes,3.3,April to September,36.1052,82.6085
North-East,Jammu & Kashmir,Jammu,Place 197,Museum,,1.5,4.2,100,Yes,Thursday,Popular Tourist Spot,Yes,7.2,Year-round,19.5093,92.8385
North,Himachal Pradesh,Manali,Place 198,Beach,1771.0,4.0,4.0,20,Yes,None,Pilgrimage Site,Yes,2.8,April to September,22.6005,86.7508
North-East,Bihar,Patna,Place 199,Market,1711.0,4.7,4.0,50,Yes,Monday,UNESCO World Heritage Site,No,8.8,Year-round,13.6882,74.0091
North-East,Andhra Pradesh,Tirupati,Place 200,Beach,1803.0,4.2,3.6,50,Yes,Saturday,Pilgrimage Site,Yes,7.6,April to September,20.3295,90.3365
East,Madhya Pradesh,Bhopal,Place 201,Beach,,4.8,4.9,20,No,Wednesday,Colonial Heritage,Yes,0.7,April to September,33.9445,81.0032
South,Kerala,Thiruvananthapuram,Place 202,Religious,,4.1,3.9,20,Yes,Sunday,Popular Tourist Spot,No,5.4,Year-round,14.3852,72.6822
East,West Bengal,Kolkata,Place 203,Market,1746.0,3.3,4.4,0,Yes,Thursday,Popular Tourist Spot,Yes,7.4,Year-round,32.2737,79.3483
West,Bihar,Gaya,Place 204,Historical,,1.6,4.6,0,No,Friday,Pilgrimage Site,Yes,6.7,October to March,17.4928,81.5139
North,Goa,Panaji,Place 205,Beach,1832.0,4.8,4.3,200,Yes,Saturday,UNESCO World Heritage Site,Yes,5.8,Year-round,19.5759,75.1178
Central,Karnataka,Bengaluru,Place 206,Nature,,2.5,5.0,100,Yes,Monday,UNESCO World Heritage Site,No,1.5,Year-round,25.6804,68.9636
South,Punjab,Chandigarh,Place 207,Historical,,3.7,4.3,0,No,Sunday,UNESCO World Heritage Site,Yes,4.8,April to September,12.5328,95.3874
East,Telangana,Hyderabad,Place 208,Cultural,1594.0,4.9,4.4,20,Yes,Monday,Popular Tourist Spot,Yes,1.3,October to March,12.76,81.3326
North,Tamil Nadu,Chennai,Place 209,Monument,1761.0,1.4,4.4,0,No,Thursday,UNESCO World Heritage Site,No,4.5,April to September,31.5228,85.8255
North,Himachal Pradesh,Manali,Place 210,Cultural,1583.0,4.4,4.5,200,No,Monday,UNESCO World Heritage Site,No,4.8,Year-round,25.6947,95.7866
West,Assam,Guwahati,Place 211,Beach,,4.3,4.3,50,No,Saturday,UNESCO World Heritage Site,No,4.1,Year-round,28.6347,69.6193
Central,Telangana,Hyderabad,Place 212,Nature,1521.0,1.6,4.1,0,No,Wednesday,Popular Tourist Spot,No,9.8,Year-round,12.8163,91.2998
North-East,Himachal Pradesh,Manali,Place 213,Monument,,1.4,4.4,0,Yes,Monday,UNESCO World Heritage Site,No,5.8,October to March,10.0651,78.3455
North,Himachal Pradesh,Manali,Place 214,Market,1784.0,2.5,4.8,100,Yes,Tuesday,Pilgrimage Site,No,9.6,April to September,31.1859,78.5638
North,Madhya Pradesh,Gwalior,Place 215,Monument,,4.2,3.6,20,Yes,Friday,Popular Tourist Spot,No,7.4,April to September,26.8943,74.8829
West,Goa,Margao,Place 216,Beach,,4.2,4.1,0,Yes,Tuesday,Colonial Heritage,No,4.1,April to September,9.5771,96.7539
North-East,Bihar,Gaya,Place 217,Monument,1922.0,1.4,4.4,20,Yes,Tuesday,Popular Tourist Spot,No,4.4,October to March,27.0729,94.1619
East,Gujarat,Vadodara,Place 218,Historical,,4.1,4.0,100,No,Wednesday,Popular Tourist Spot,No,5.5,April to September,36.7494,71.3306
East,Bihar,Gaya,Place 219,Religious,,4.6,4.2,0,Yes,Thursday,Colonial Heritage,Yes,2.8,April to September,28.7307,92.7525
Central,Gujarat,Vadodara,Place 220,Beach,,2.8,3.9,0,No,None,Pilgrimage Site,Yes,5.5,October to March,26.2024,68.9143
North,Telangana,Hyderabad,Place 221,Museum,,3.2,4.2,20,Yes,Thursday,UNESCO World Heritage Site,Yes,7.3,Year-round,16.8656,68.6482
North,Punjab,Chandigarh,Place 222,Nature,1922.0,5.0,4.7,0,No,Thursday,Pilgrimage Site,No,8.9,October to March,12.4432,92.535
South,Himachal Pradesh,Shimla,Place 223,Cultural,,1.3,4.1,0,No,None,Popular Tourist Spot,Yes,3.2,Year-round,29.4827,92.3741
Central,Punjab,Chandigarh,Place 224,Market,1632.0,1.6,3.9,200,Yes,Tuesday,UNESCO World Heritage Site,No,6.6,April to September,28.3404,71.5631
South,Gujarat,Ahmedabad,Place 225,Nature,,3.6,4.5,20,No,None,Popular Tourist Spot,No,7.3,Year-round,28.0968,81.479
West,Jammu & Kashmir,Jammu,Place 226,Nature,,2.7,4.3,20,Yes,Thursday,UNESCO World Heritage Site,No,5.7,Year-round,20.2938,77.5596
West,Tamil Nadu,Madurai,Place 227,Nature,,2.1,4.6,200,No,None,Popular Tourist Spot,No,4.6,October to March,22.3216,78.0709
North-East,West Bengal,Darjeeling,Place 228,Market,1658.0,3.0,4.4,200,No,Wednesday,Popular Tourist Spot,No,4.2,October to March,16.737,73.3148
Central,West Bengal,Darjeeling,Place 229,Monument,,4.6,4.9,100,No,None,UNESCO World Heritage Site,Yes,2.4,October to March,11.7302,81.999
West,Bihar,Patna,Place 230,Religious,1932.0,4.0,4.2,50,Yes,Tuesday,Pilgrimage Site,Yes,2.7,October to March,17.2762,93.3988
North,Madhya Pradesh,Indore,Place 231,Cultural,1641.0,1.1,4.2,0,Yes,Monday,UNESCO World Heritage Site,No,5.2,Year-round,33.4129,82.9087
North-East,Himachal Pradesh,Shimla,Place 232,Market,,3.1,3.6,100,Yes,Thursday,Colonial Heritage,No,8.3,April to September,22.4941,73.7062
North-East,Jammu & Kashmir,Srinagar,Place 233,Monument,1622.0,1.9,3.8,200,No,Tuesday,Colonial Heritage,Yes,8.6,Year-round,17.467,89.5933
South,Himachal Pradesh,Manali,Place 234,Cultural,1618.0,3.6,3.6,0,No,Friday,UNESCO World Heritage Site,Yes,3.7,Year-round,16.3907,70.6948
North,Gujarat,Ahmedabad,Place 235,Beach,,4.4,3.7,20,Yes,Thursday,Colonial Heritage,No,2.4,April to September,31.7302,81.0967
West,Assam,Tezpur,Place 236,Religious,,2.6,3.6,100,Yes,Friday,Popular Tourist Spot,No,4.8,October to March,30.0025,72.4496
Central,Odisha,Puri,Place 237,Religious,,1.1,4.1,100,Yes,Thursday,Colonial Heritage,No,1.9,October to March,18.1138,85.185
South,Telangana,Hyderabad,Place 238,Beach,1994.0,3.2,3.9,100,Yes,Sunday,Colonial Heritage,No,2.0,Year-round,24.2603,90.8194
East,Goa,Margao,Place 239,Beach,,1.8,4.9,200,No,Monday,Pilgrimage Site,No,5.0,October to March,21.0122,76.0828
Central,Rajasthan,Jodhpur,Place 240,Historical,1629.0,4.3,4.8,20,Yes,None,UNESCO World Heritage Site,No,2.6,Year-round,10.3251,81.997
South,Punjab,Chandigarh,Place 241,Nature,1922.0,4.9,4.2,100,No,Thursday,UNESCO World Heritage Site,No,8.2,April to September,33.0681,77.0859
Central,Meghalaya,Shillong,Place 242,Market,1949.0,5.0,4.0,0,No,Friday,Popular Tourist Spot,No,5.4,Year-round,19.8738,68.0733
Central,Uttar Pradesh,Lucknow,Place 243,Beach,,4.4,4.3,20,Yes,Monday,Colonial Heritage,Yes,3.5,Year-round,33.4788,83.5261
North,Bihar,Gaya,Place 244,Historical,1931.0,1.9,3.6,50,Yes,Thursday,Pilgrimage Site,Yes,6.7,April to September,21.155,85.5577
North,Madhya Pradesh,Gwalior,Place 245,Nature,1996.0,1.4,3.8,0,Yes,Monday,Pilgrimage Site,No,3.6,October to March,28.4629,96.9827
South,Telangana,Hyderabad,Place 246,Historical,,3.5,4.6,200,No,Friday,Popular Tourist Spot,No,6.8,Year-round,13.0875,72.6041
West,Himachal Pradesh,Manali,Place 247,Beach,,1.6,3.8,0,No,Sunday,Popular Tourist Spot,Yes,6.8,April to September,36.0603,69.968
West,Assam,Tezpur,Place 248,Market,1599.0,3.1,4.9,100,Yes,Tuesday,Pilgrimage Site,No,4.9,Year-round,29.7207,91.1561
East,Andhra Pradesh,Visakhapatnam,Place 249,Beach,1849.0,2.2,4.0,20,No,Friday,UNESCO World Heritage Site,Yes,5.3,Year-round,24.402,94.382
West,Andhra Pradesh,Tirupati,Place 250,Market,1625.0,2.2,3.9,100,Yes,None,Pilgrimage Site,Yes,5.3,April to September,36.6034,89.6304
South,Jammu & Kashmir,Jammu,Place 251,Cultural,,1.4,4.4,100,No,None,Popular Tourist Spot,Yes,7.6,Year-round,25.0059,69.3613
Central,Assam,Tezpur,Place 252,Religious,1674.0,4.5,4.6,100,No,Monday,Pilgrimage Site,Yes,1.5,April to September,11.6005,96.0949
North-East,Kerala,Thiruvananthapuram,Place 253,Museum,,3.1,3.8,50,Yes,Tuesday,Popular Tourist Spot,Yes,7.4,Year-round,28.5987,70.4784
North,Kerala,Kochi,Place 254,Cultural,1757.0,4.0,3.6,50,No,Saturday,UNESCO World Heritage Site,Yes,4.6,October to March,14.7055,87.0867
West,Uttar Pradesh,Agra,Place 255,Market,,2.4,4.5,100,Yes,Wednesday,Popular Tourist Spot,No,9.7,October to March,10.4175,91.6272
North,West Bengal,Darjeeling,Place 256,Historical,1680.0,1.1,4.8,0,Yes,None,Pilgrimage Site,Yes,5.6,April to September,31.4336,89.2633
East,Uttar Pradesh,Varanasi,Place 257,Beach,1720.0,4.2,3.6,0,No,Sunday,UNESCO World Heritage Site,No,8.6,October to March,15.9653,88.2547
North,Gujarat,Vadodara,Place 258,Cultural,1737.0,2.0,3.8,50,Yes,Saturday,Colonial Heritage,Yes,2.4,October to March,15.3703,91.3695
Central,Jammu & Kashmir,Srinagar,Place 259,Cultural,1807.0,3.5,4.7,20,No,Wednesday,Popular Tourist Spot,Yes,2.1,Year-round,9.4311,75.9436
East,Gujarat,Ahmedabad,Place 260,Historical,1595.0,1.1,4.4,20,No,Thursday,Popular Tourist Spot,No,7.6,Year-round,25.9441,85.744
West,Punjab,Amritsar,Place 261,Religious,1877.0,3.6,4.3,50,Yes,Friday,Colonial Heritage,No,8.3,April to September,29.9047,78.5463
West,Meghalaya,Shillong,Place 262,Museum,1571.0,3.4,4.1,100,Yes,Tuesday,Popular Tourist Spot,No,8.0,Year-round,27.2389,81.588
South,Delhi,Delhi,Place 263,Monument,,1.8,4.4,0,Yes,Tuesday,Colonial Heritage,Yes,2.1,October to March,30.2585,82.9604
Central,Madhya Pradesh,Gwalior,Place 264,Museum,1641.0,1.6,4.1,0,No,Sunday,Colonial Heritage,Yes,0.9,October to March,34.784,77.2086
East,Jammu & Kashmir,Srinagar,Place 265,Market,1758.0,1.4,3.6,50,No,None,Colonial Heritage,No,4.0,October to March,13.4774,79.0015
North,Delhi,Delhi,Place 266,Market,,3.9,3.8,200,Yes,Monday,UNESCO World Heritage Site,Yes,1.1,October to March,9.5193,79.1953
Central,Bihar,Gaya,Place 267,Museum,1540.0,3.7,3.6,50,Yes,Wednesday,UNESCO World Heritage Site,No,1.8,October to March,34.9239,81.7572
West,Karnataka,Mysuru,Place 268,Monument,,2.1,3.6,200,No,Sunday,Colonial Heritage,No,4.6,Year-round,16.4917,85.631
South,Kerala,Thiruvananthapuram,Place 269,Museum,,2.6,3.9,100,Yes,Friday,Colonial Heritage,Yes,5.4,Year-round,14.0438,70.1218
South,Andhra Pradesh,Tirupati,Place 270,Historical,1614.0,4.5,4.3,200,Yes,Saturday,UNESCO World Heritage Site,No,9.2,April to September,19.3419,77.6304
West,Himachal Pradesh,Manali,Place 271,Nature,,4.1,3.5,0,Yes,Thursday,Popular Tourist Spot,Yes,2.6,October to March,13.4523,90.2726
North-East,Bihar,Patna,Place 272,Monument,,1.8,4.2,0,Yes,Wednesday,Popular Tourist Spot,Yes,0.8,October to March,18.1765,68.4496
East,Tamil Nadu,Chennai,Place 273,Monument,,5.0,4.5,20,No,Wednesday,Pilgrimage Site,Yes,6.4,Year-round,34.8106,73.4166
North-East,Andhra Pradesh,Visakhapatnam,Place 274,Historical,,3.2,4.6,0,Yes,Thursday,Pilgrimage Site,Yes,1.1,April to September,17.3009,91.3476
North-East,Odisha,Bhubaneswar,Place 275,Market,,4.0,4.9,100,Yes,Saturday,Pilgrimage Site,Yes,6.1,October to March,28.0185,81.7113
North-East,Jammu & Kashmir,Jammu,Place 276,Historical,,1.6,4.3,0,No,Tuesday,Colonial Heritage,No,5.0,October to March,16.5541,96.3387
South,Punjab,Chandigarh,Place 277,Religious,1547.0,4.2,4.2,0,Yes,Wednesday,Colonial Heritage,No,4.8,April to September,15.4277,71.5807
East,Assam,Guwahati,Place 278,Cultural,1969.0,4.3,4.9,200,Yes,Wednesday,Popular Tourist Spot,Yes,0.8,April to September,27.7117,83.1466
East,Punjab,Amritsar,Place 279,Museum,1908.0,4.5,4.1,100,No,Monday,Pilgrimage Site,Yes,6.6,Year-round,22.9955,81.6166
South,Telangana,Hyderabad,Place 280,Monument,,2.3,3.5,100,Yes,Wednesday,UNESCO World Heritage Site,Yes,3.2,April to September,16.81,83.3158
South,Madhya Pradesh,Gwalior,Place 281,Monument,,2.0,3.9,50,No,Saturday,UNESCO World Heritage Site,No,1.4,Year-round,20.4809,92.3963
East,Gujarat,Ahmedabad,Place 282,Nature,1738.0,2.3,4.1,20,No,None,Colonial Heritage,No,1.4,Year-round,24.6212,83.0119
East,Goa,Panaji,Place 283,Beach,1733.0,1.3,4.3,200,Yes,None,Colonial Heritage,Yes,3.4,Year-round,15.6998,94.1978
North-East,Himachal Pradesh,Shimla,Place 284,Historical,1571.0,3.8,3.8,100,No,Saturday,UNESCO World Heritage Site,Yes,6.6,Year-round,29.057,76.4038
Central,Goa,Margao,Place 285,Nature,1586.0,2.7,4.6,50,No,None,Popular Tourist Spot,No,1.1,Year-round,21.8676,75.1128
Central,Assam,Guwahati,Place 286,Nature,,4.6,4.7,200,No,Wednesday,Pilgrimage Site,No,3.9,Year-round,22.3017,79.2792
North-East,West Bengal,Darjeeling,Place 287,Museum,1791.0,2.7,4.5,20,Yes,Saturday,Popular Tourist Spot,No,6.2,Year-round,19.7359,85.6687
East,Punjab,Chandigarh,Place 288,Historical,1798.0,3.2,4.1,20,Yes,None,UNESCO World Heritage Site,Yes,4.5,April to September,26.5411,83.385
North-East,Delhi,Delhi,Place 289,Beach,1624.0,1.0,3.7,200,No,None,Popular Tourist Spot,No,5.0,Year-round,18.3367,96.0463
North,Uttar Pradesh,Agra,Place 290,Beach,1968.0,3.5,3.5,20,Yes,Saturday,Colonial Heritage,No,3.5,Year-round,32.9824,87.5464
South,Gujarat,Ahmedabad,Place 291,Museum,,1.6,4.6,200,Yes,None,Pilgrimage Site,Yes,2.1,April to September,15.7436,72.4565
Central,Uttar Pradesh,Agra,Place 292,Museum,1588.0,4.0,4.1,0,Yes,Friday,UNESCO World Heritage Site,No,2.0,October to March,27.9525,89.763
North,Telangana,Hyderabad,Place 293,Historical,1556.0,1.6,4.2,100,No,Tuesday,Colonial Heritage,No,2.6,Year-round,10.3196,92.6313
South,Odisha,Puri,Place 294,Religious,,2.2,4.9,0,No,Tuesday,Pilgrimage Site,Yes,2.5,April to September,34.8634,78.0227
North-East,Rajasthan,Jodhpur,Place 295,Beach,1907.0,3.7,4.8,100,No,Friday,Pilgrimage Site,No,0.5,October to March,13.8129,75.0054
North-East,Goa,Panaji,Place 296,Religious,,3.3,4.5,200,No,None,Popular Tourist Spot,No,7.8,April to September,14.4781,92.151
East,Tamil Nadu,Chennai,Place 297,Monument,,4.4,3.7,20,No,Wednesday,UNESCO World Heritage Site,Yes,7.6,October to March,15.7349,70.6251
East,Bihar,Gaya,Place 298,Beach,1510.0,1.8,4.1,20,No,Monday,UNESCO World Heritage Site,Yes,9.1,April to September,29.0218,84.7003
East,Delhi,Delhi,Place 299,Market,1520.0,3.7,4.7,100,Yes,Thursday,Popular Tourist Spot,Yes,1.6,Year-round,16.9109,68.8626
West,Rajasthan,Jaipur,Place 300,Museum,,2.2,4.7,50,No,Monday,UNESCO World Heritage Site,Yes,1.8,October to March,17.5676,69.7401
